[2025-07-07 23:18:22,118 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21927.txt====
[2025-07-07 23:18:23,469 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21927.txt====
[2025-07-07 23:18:23,470 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21929.txt====
[2025-07-07 23:18:26,605 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21929.txt====
[2025-07-07 23:18:26,606 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21933.txt====
[2025-07-07 23:18:30,568 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21933.txt====
[2025-07-07 23:18:30,568 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21939.txt====
[2025-07-07 23:18:33,405 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21939.txt====
[2025-07-07 23:18:33,405 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21940.txt====
[2025-07-07 23:19:25,589 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21940.txt====
[2025-07-07 23:19:25,592 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21975.txt====
[2025-07-07 23:19:27,043 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21975.txt====
[2025-07-07 23:19:27,044 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_29053.txt====
[2025-07-07 23:19:31,061 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_29053.txt====
[2025-07-07 23:19:31,061 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_29263.txt====
[2025-07-07 23:19:32,313 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_29263.txt====
[2025-07-07 23:19:32,313 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_32094.txt====
[2025-07-07 23:19:36,923 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_32094.txt====
