[2025-05-28 09:59:58,673 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=28)
[2025-05-28 09:59:58,673 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=29
[2025-05-28 09:59:58,693 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=29
[2025-05-28 09:59:58,855 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=29)
[2025-05-28 09:59:58,855 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=30
[2025-05-28 09:59:58,875 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=30
[2025-05-28 09:59:59,027 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=30)
[2025-05-28 09:59:59,027 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=31
[2025-05-28 09:59:59,047 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=31
[2025-05-28 09:59:59,308 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=31)
[2025-05-28 09:59:59,581 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=0
[2025-05-28 09:59:59,603 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=0
[2025-05-28 09:59:59,784 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=0)
[2025-05-28 09:59:59,784 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=1
[2025-05-28 09:59:59,805 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=1
[2025-05-28 09:59:59,895 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=1)
[2025-05-28 09:59:59,896 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=2
[2025-05-28 09:59:59,916 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=2
[2025-05-28 10:00:00,137 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=2)
[2025-05-28 10:00:00,138 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=3
[2025-05-28 10:00:00,158 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=3
[2025-05-28 10:00:00,319 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=3)
[2025-05-28 10:00:00,319 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=4
[2025-05-28 10:00:00,340 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=4
[2025-05-28 10:00:00,663 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=4)
[2025-05-28 10:00:00,663 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=5
[2025-05-28 10:00:00,663 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=6
[2025-05-28 10:00:00,664 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=7
[2025-05-28 10:00:00,685 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=7
[2025-05-28 10:00:01,017 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=7)
[2025-05-28 10:00:01,017 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=8
[2025-05-28 10:00:01,038 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=8
